tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Reno Reno,8mb,0.9918304,0.00947158524427,0.0799628267908,1.0504864,0.00941397975994,0.0804833655659
Reno Reno,8mb,1.0006496,0.0116680361545,0.0815378291487,1.019536,0.0112948769665,0.0804022185231
Reno Reno,8mb,1.015792,0.00941100113581,0.0810941454545,0.9913312,0.00931160625208,0.0800126855488
Reno Reno,9mb,0.5295712,0.0306075833714,0.086444325322,0.5321504,0.0386233844304,0.0865588972956
Reno Reno,9mb,0.5453792,0.0340356564019,0.0865302922514,0.5094368,0.0348305752561,0.0870954769758
Reno Reno,9mb,0.5414688,0.0335560504826,0.0866216043939,0.5169248,0.0350931677019,0.087334178468
Reno Reno,9mb,0.5443808,0.0328111143955,0.0880271832213,0.4990368,0.04016,0.087607756126
Reno Reno,9mb,0.5346464,0.0345500976416,0.0884729197137,0.5184224,0.0349953545989,0.0885926034981
Reno Reno,9mb,0.5280736,0.0308396946565,0.0852780195337,0.5401376,0.0369326609315,0.0851471718774
Reno Reno,9mb,0.543632,0.033569949719,0.087604199694,0.522,0.0403731457409,0.0863812819124
Reno Reno,9mb,0.5122656,0.0382633140715,0.0860990727509,0.5472096,0.0327892956918,0.086631520675
Reno Reno,9mb,0.5121824,0.0308515661892,0.0859491973364,0.5317344,0.0379289584588,0.0858399699625
Reno Reno,9mb,0.5566944,0.0318287037037,0.0874920560371,0.517424,0.0353598014888,0.0877207736334
Reno Reno,10mb,0.1660704,0.0801473975127,0.110876505759,0.184624,0.088295687885,0.109301472072
Reno Reno,10mb,0.1968544,0.0829135993801,0.110001182087,0.166736,0.0773124712379,0.110842000998
Reno Reno,10mb,0.1803808,0.0710920770878,0.110808687414,0.2018464,0.0736641221374,0.109545708694
Reno Reno,10mb,0.1861216,0.0913520097442,0.109293441466,0.1892832,0.0702614379085,0.110789952988
Reno Reno,10mb,0.1940256,0.0876026593664,0.109293982855,0.1755552,0.0781659388646,0.110869138797
Reno Reno,10mb,0.2007648,0.0814307458143,0.109298876139,0.18712,0.0771123872026,0.110799724889
Reno Reno,10mb,0.1802976,0.101905550953,0.109198708948,0.1886176,0.0704918032787,0.11079431261
Reno Reno,10mb,0.1715616,0.0903880070547,0.109619350945,0.182544,0.071096064325,0.110864234624
Reno Reno,10mb,0.1838752,0.0768267223382,0.11039627318,0.1799648,0.0849894291755,0.110068612754
Reno Reno,10mb,0.191696,0.0720611916264,0.110885412581,0.190032,0.0896414342629,0.109449772867
Newreno Reno,1mb,5.244432,0.000396447827466,0.087101576632,3.6546464,0.0013413358796,0.0890338199058
Newreno Reno,1mb,5.5402912,0.000780276998334,0.0843882270577,3.3838304,0.000712513206064,0.0852472096037
Newreno Reno,1mb,5.50776,0.000317119946845,0.0879158453474,3.4395744,0.00159389489954,0.0884009532437
